04/21/2021 08:55:05 PM Transfer{transferId=1, transferTypeID=0, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=10}
04/21/2021 09:03:58 PM Transfer{transferId=1, transferTypeID=0, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=22}
04/21/2021 09:07:26 PM Transfer{transferId=1, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111}
04/22/2021 08:17:21 AM Transfer{transferId=1, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75}
04/22/2021 08:30:53 AM Transfer{transferId=1, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99}
04/22/2021 10:08:59 AM Transfer{transferId=1, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100}
04/22/2021 10:23:18 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 10:27:00 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 10:30:05 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 10:33:57 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 10:33:57 AM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 10:33:57 AM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 10:33:57 AM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:33:57 AM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 10:33:57 AM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 10:33:57 AM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 10:33:57 AM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 10:33:57 AM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 10:42:59 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 10:42:59 AM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 10:42:59 AM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 10:42:59 AM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:42:59 AM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 10:42:59 AM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 10:42:59 AM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 10:42:59 AM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 10:42:59 AM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 10:48:58 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 10:48:58 AM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 10:48:58 AM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 10:48:58 AM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 10:48:58 AM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 10:48:58 AM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 10:48:58 AM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 10:48:58 AM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 10:48:58 AM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 11:01:44 AM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 11:01:44 AM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 11:01:44 AM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 11:01:44 AM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 11:01:44 AM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 11:01:44 AM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 11:01:44 AM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 11:01:44 AM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 11:01:44 AM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 12:17:34 PM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 12:17:34 PM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 12:17:34 PM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 12:17:34 PM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:17:34 PM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 12:17:34 PM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 12:17:34 PM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 12:17:34 PM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 12:17:34 PM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 12:18:44 PM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 12:18:44 PM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 12:18:44 PM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 12:18:44 PM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 12:18:44 PM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 12:18:44 PM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 12:18:44 PM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 12:18:44 PM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 12:18:44 PM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 02:36:35 PM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 02:36:35 PM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 02:36:35 PM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 02:36:35 PM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:36:35 PM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 02:36:35 PM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 02:36:35 PM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 02:36:35 PM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 02:36:35 PM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
04/22/2021 02:38:59 PM Account{accountId=2001, userId=1001, balance=676.00}
04/22/2021 02:38:59 PM Transfer{transferId=3003, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 02:38:59 PM Transfer{transferId=3010, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=20.00}
04/22/2021 02:38:59 PM Transfer{transferId=3012, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3013, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3014, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3015, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3016, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3017, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3018, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=30.00}
04/22/2021 02:38:59 PM Transfer{transferId=3019, transferTypeId=1, transferStatusId=1, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 02:38:59 PM Transfer{transferId=3029, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=111.00}
04/22/2021 02:38:59 PM Transfer{transferId=3030, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=75.00}
04/22/2021 02:38:59 PM Transfer{transferId=3031, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2002, amount=99.00}
04/22/2021 02:38:59 PM Transfer{transferId=3032, transferTypeId=2, transferStatusId=2, accountFrom=2001, accountTo=2003, amount=100.00}
